INCIDENT INFO,DESCRIPTION,START_DT,MODIFIED_DT,QUADRANT,Longitude,Latitude,Count,id,Point,geometry
17 Avenue and 16 Street SW,Traffic incident.,2020/04/13 05:40:00 PM,,,-114.0988353,51.03783029,1,2020-04-13T17:40:0051.03783028909991-114.09883528348183,POINT (-114.0988353 51.03783029),POINT (282754.93869829323 5658601.821733326)
 53 Street and Dalhousie Drive NW ,There is an incident involving a pedestrian- EMS Dispatched.,2022/12/04 12:01:36 PM,2022/12/04 12:56:16 PM,NW,-114.16244385491424,51.10815166153004,1,2022-12-04T12:01:3651.10815166153004-114.16244385491424,POINT (-114.16244385491424 51.10815166153004),POINT (278632.5943708727 5666609.025786525)
 17 Avenue and 10 Street SW ,The road is closed EB and WB due to police incident.,2024/02/29 02:35:02 AM,2024/02/29 02:36:31 AM,SW,-114.087039326918,51.03781314947917,1,2024-02-29T02:35:0251.03781314947917-114.08703932691799,POINT (-114.08703932691799 51.03781314947917),POINT (283581.6524557702 5658565.178293539)
 Southbound Stoney Trail and Peigan Trail SE ,Stalled vehicle. Blocking the left shoulder,2023/05/26 05:01:30 AM,2023/05/26 05:03:47 AM,SE,-113.92179101682208,51.01177541185978,1,2023-05-26T05:01:3051.01177541185978-113.92179101682207,POINT (-113.92179101682207 51.01177541185978),POINT (295049.4452571555 5655197.762186259)
Westwinds Drive and 54 Avenue NE,Two vehicle incident.,2019/10/21 03:53:00 AM,,,-113.9761891,51.10223101,1,2019-10-21T03:53:1351.102231009183825-113.97618906171323,POINT (-113.9761891 51.10223101),POINT (291641.0189687522 5665406.783047176)
Beddington Trail and Hidden Creek Drive NW,Traffic incident.,2021/12/09 07:53:00 PM,2021/12/09 08:02:00 PM,NW,-114.1059956,51.15371158,1,2021-12-09T19:53:3051.153711575303944-114.10599559133892,POINT (-114.1059956 51.15371158),POINT (282797.06718366174 5671505.628685737)
Eastbound 16 Avenue at Barlow Trail NE,Two vehicle incident. blocking the right lane,2017/12/04 05:21:00 PM,2017/12/04 05:22:00 PM,NE,-114.0077561,51.06701182,1,2017-12-04T17:21:1651.0670118241574-114.007756083027,POINT (-114.0077561 51.06701182),POINT (289271.4084534893 5661581.234573502)
Beddington Trail and Deerfoot Trail NE,Traffic incident. Blocking the left lane on the NB to WB exit ramp,2022/01/05 09:32:00 AM,2022/01/05 09:57:00 AM,NE,-114.0484315,51.12603261,1,2022-01-05T09:32:4251.12603260892872-114.04843148757054,POINT (-114.0484315 51.12603261),POINT (286694.11331855296 5668259.963751143)
Ogden Road and 42 Avenue SE,Traffic signals are flashing red. Crew has been dispatched,2022/01/31 02:23:00 PM,2022/01/31 02:57:00 PM,SE,-114.0155493,51.01548915,1,2022-01-31T14:23:4051.015489147456776-114.01554926910394,POINT (-114.0155493 51.01548915),POINT (288490.8717835711 5655875.678284363)
Northbound Deerfoot Trail after Glenmore Trail SE,Stalled vehicle.,2020/05/19 05:08:00 PM,,,-114.0391731,50.99415668,1,2020-05-19T17:08:0950.994156675246714-114.039173086226,POINT (-114.0391731 50.99415668),POINT (286736.37201811315 5653572.222489538)
15 Avenue and 2 Street SW,Traffic incident.,2022/04/24 03:52:00 PM,2022/04/24 04:45:00 PM,NW,-114.0684685,51.03872924,1,2022-04-24T15:52:0451.03872924334774-114.06846854567638,POINT (-114.0684685 51.03872924),POINT (284887.5530536904 5658612.600835353)
5 Avenue at 7 Street SW,Traffic signals are flashing red. Crews have been dispatched.,2019/02/22 04:20:00 AM,2019/02/22 04:23:00 AM,SW,-114.0785774,51.04883346,1,2019022204201951.0488334611241-114.078577436108,POINT (-114.0785774 51.04883346),POINT (284225.9993167211 5659765.479891725)
 68 Street and 8 Avenue NE ,There is an incident involving a cyclist- EMS Dispatched.,2022/10/05 05:52:09 PM,2022/10/05 06:17:27 PM,NE,-113.93555178658144,51.059645051322114,1,2022-10-05T17:52:0951.059645051322114-113.93555178658144,POINT (-113.93555178658144 51.059645051322114),POINT (294296.5584603313 5660557.997533338)
Northbound Deerfoot Trail approaching 32 Avenue NE,Single vehicle incident. Blocking the left lanes,2019/02/03 09:20:00 PM,2019/02/03 09:23:00 PM,NE,-114.0295938,51.07763343,1,2019020321205451.077633430664-114.029593800807,POINT (-114.0295938 51.07763343),POINT (287790.338400156 5662824.8155227825)
Eastbound Bow Trail approaching Crowchild Trail SW,Traffic incident. Blocking the right lane.,2021/11/09 09:05:00 AM,2021/11/09 09:40:00 AM,SW,-114.115147,51.04202606,1,2021-11-09T09:05:1051.04202606287786-114.11514701364818,POINT (-114.115147 51.04202606),POINT (281631.3749479253 5659116.521101483)
Southbound Deerfoot Trail approaching Glenmore Trail SE,Two vehicle incident. blocking the right lane,2018/02/13 12:47:00 PM,2018/02/13 01:35:00 PM,SE,-114.0391731,50.99415668,1,2018-02-13T12:47:5750.9941566757218-114.039173086226,POINT (-114.0391731 50.99415668),POINT (286736.37201811315 5653572.222489538)
Westbound Bowness Road at Shaganappi Trail NW,Two vehicle incident.,2017/12/18 06:59:00 PM,2017/12/18 07:03:00 PM,NW,-114.1494827,51.06361477,1,2017-12-18T18:59:5251.0636147673025-114.149482664815,POINT (-114.1494827 51.06361477),POINT (279327.68775756226 5661618.930250021)
 Heritage Drive and 11 Street SE ,Traffic incident.,2023/12/22 03:07:41 PM,2023/12/22 04:32:02 PM,SE,-114.03987296924656,50.9868654268982,1,2023-12-22T15:07:4150.9868654268982-114.03987296924657,POINT (-114.03987296924657 50.9868654268982),POINT (286653.8218433842 5652763.671527571)
Southbound Stoney Trail onto Westbound Glenmore Trail SE,Traffic incident.,2021/03/29 07:59:00 AM,,,-113.9277679,50.97969642,1,2021-03-29T07:59:3050.97969642432747-113.92776791101515,POINT (-113.9277679 50.97969642),POINT (294488.52961344016 5651648.072064519)
 Southbound 52 Street approaching 126 Avenue SE ,Two vehicle incident. Blocking the right lane,2023/01/13 05:13:49 PM,2023/01/13 06:30:35 PM,SE,-113.95832341538473,50.93551299301191,1,2023-01-13T17:13:4950.93551299301191-113.95832341538471,POINT (-113.95832341538471 50.93551299301191),POINT (292146.9555588075 5646821.747339837)
Memorial Drive and 9 Street NW,Traffic incident.,2020/08/25 08:39:00 PM,,,-114.0812687,51.05369344,1,2020-08-25T20:39:4551.053693443345296-114.08126874525114,POINT (-114.0812687 51.05369344),POINT (284060.0260748751 5660313.660718389)
Barlow Trail and 16 Avenue NE,Traffic incident.,2022/04/20 12:09:00 AM,2022/04/20 12:11:00 AM,NE,-114.0077561,51.06701182,1,2022-04-20T00:09:3651.067011823682165-114.00775608302693,POINT (-114.0077561 51.06701182),POINT (289271.4084534893 5661581.234573502)
Westbound Glenmore Trail approaching Crowchild Trail SW,Two vehicle incident. In the right lane.,2017/09/05 12:15:00 PM,2017/09/05 12:16:00 PM,SW,-114.1100194,50.99874668,1,2017-09-05T11:15:1050.9987466784856-114.110019383877,POINT (-114.1100194 50.99874668),POINT (281787.52117807406 5654289.954969841)
Eastbound Southland Drive and Blackfoot Trail SE,Multi-vehicle incident. blocking the right lane.,2017/10/05 05:49:00 PM,2017/10/05 05:50:00 PM,SE,-114.03934,50.96560392,1,2017-10-05T16:49:2050.9656039185511-114.039339977983,POINT (-114.03934 50.96560392),POINT (286593.7190498519 5650398.466186033)
Westbound 16 Avenue at 52 Street NE,Stalled vehicle.,2018/11/16 08:10:00 AM,2018/11/16 09:08:00 AM,NE,-113.9633108,51.0671044,1,2018111608101551.0671044015668-113.963310837195,POINT (-113.9633108 51.0671044),POINT (292385.1499251343 5661465.218703097)
Westbound Mcknight Boulevard and 52 Street NE,Two vehicle incident. Blocking the right lanes,2022/04/22 09:27:00 AM,2022/04/22 09:57:00 AM,NE,-113.9589688,51.09617926,1,2022-04-22T09:27:5651.09617925706344-113.95896877929148,POINT (-113.9589688 51.09617926),POINT (292819.29728238663 5664685.352890647)
50 Avenue and Crowchild Trail SW,Traffic incident.,2021/11/24 07:22:00 PM,2021/11/24 07:22:00 PM,SW,-114.1201585,51.00876751,1,2021-11-24T19:22:0751.00876751020126-114.12015845315949,POINT (-114.1201585 51.00876751),POINT (281123.4592041988 5655434.04800515)
Southbound 52 Street after 130 Avenue SE,Traffic incident.  Blocking the right lane,2021/11/23 05:05:00 PM,2021/11/23 06:36:00 PM,SE,-113.9583167,50.93104914,1,2021-11-23T17:05:4050.93104914270304-113.95831673528645,POINT (-113.9583167 50.93104914),POINT (292127.5156321565 5646325.472621374)
130 Avenue and 46 Street SE,Multi-vehicle incident.,2018/09/09 10:42:00 AM,2018/09/09 10:42:00 AM,NW,-113.968795,50.93203492,1,2018090910420450.9320349202896-113.968794969081,POINT (-113.968795 50.93203492),POINT (291395.78313241526 5646464.651996922)
Westbound 16 Avenue approaching 19 Street NE,Traffic incident. Blocking the right lane,2021/02/18 06:53:00 PM,,,-114.0117621,51.06713537,1,2021-02-18T18:53:0651.06713536728983-114.0117621350835,POINT (-114.0117621 51.06713537),POINT (288991.3575840598 5661606.447052985)
Southbound Stoney Trail and 96 Avenue NE,Traffic incident.,2022/03/21 03:08:00 PM,2022/03/21 04:23:00 PM,NE,-113.921568,51.13676745,1,2022-03-21T15:08:0151.13676745053141-113.92156803936673,POINT (-113.921568 51.13676745),POINT (295616.8048638425 5669093.109834344)
Eastbound Glenmore Trail to Southbound Deerfoot Trail SW,Multi-vehicle incident.,2018/09/07 05:30:00 PM,2018/09/07 05:31:00 PM,SW,-114.0363452,50.99190267,1,2018090717301450.9919026747431-114.03634523597,POINT (-114.0363452 50.99190267),POINT (286924.44301838975 5653313.459585246)
 Ranchview Li and Ranchview Drive NW ,Traffic incident.,2022/10/01 05:55:41 PM,2022/10/01 05:56:39 PM,NW,-114.17643324433271,51.11587407633033,1,2022-10-01T17:55:4151.11587407633033-114.17643324433273,POINT (-114.17643324433273 51.11587407633033),POINT (277690.6495864926 5667509.720318602)
 7 Street at 12 Avenue SW ,Traffic incident.,2022/11/18 08:54:37 PM,2022/11/18 08:56:08 PM,SW,-114.07907230738834,51.04187138710716,1,2022-11-18T20:54:3751.04187138710716-114.07907230738834,POINT (-114.07907230738834 51.04187138710716),POINT (284158.9424556291 5658992.949564392)
50 Avenue and 6 Street SW,Two vehicle incident.,2017/11/15 05:26:00 PM,2017/11/15 05:33:00 PM,SW,-114.0788881,51.00871852,1,2017-11-15T17:26:1051.0087185177402-114.078888107359,POINT (-114.0788881 51.00871852),POINT (284017.7321598498 5655306.779226343)
Northbound Deerfoot Trail at 8 Avenue NE,Two vehicle incident.,2019/02/08 01:17:00 PM,2019/02/08 02:00:00 PM,NE,-114.0228199,51.05896524,1,2019020813170851.0589652368545-114.022819861116,POINT (-114.0228199 51.05896524),POINT (288179.4733120807 5660729.91273639)
 Richmond Road and Westhills Wy SW ,Traffic incident.,2022/09/18 02:01:55 PM,2022/09/18 02:37:09 PM,SW,-114.17286824584296,51.01664569640055,1,2022-09-18T14:01:5551.016645696400545-114.17286824584296,POINT (-114.17286824584296 51.016645696400545),POINT (277464.4309254052 5656467.805869355)
 Westbound Country Hills Boulevard and Coventry Boulevard NE ,Traffic incident. Blocking the left lane,2023/07/03 04:06:11 PM,2023/07/03 04:38:05 PM,NE,-114.0424993550738,51.15434024460021,1,2023-07-03T16:06:1151.15434024460021-114.04249935507379,POINT (-114.04249935507379 51.15434024460021),POINT (287239.36785128445 5671389.823202469)
Metis Trail and 80 Avenue NE,Traffic incident.,2020/12/23 07:19:00 AM,,,-113.9699087,51.12523968,1,2020-12-23T07:19:5151.12523967954641-113.96990865653966,POINT (-113.9699087 51.12523968),POINT (292183.9194596489 5667946.988534743)
Northbound 52 Street and Temple Drive NE,Two vehicle incident. incident in temporary two-way traffic,2021/05/15 12:14:00 PM,,,-113.9585004,51.08588782,1,2021-05-15T12:14:4851.0858878166976-113.95850044372615,POINT (-113.9585004 51.08588782),POINT (292806.0748382652 5663539.890506067)
Falconridge Boulevard and Castleridge Boulevard NE,There is an incident involving a pedestrian.,2018/07/16 01:59:00 PM,2018/07/16 04:08:00 PM,NE,-113.9584105,51.09992577,1,2018071613595551.0999257670693-113.958410492798,POINT (-113.9584105 51.09992577),POINT (292875.13260504685 5665100.296847908)
Memorial Drive and 5 Street NW,Two vehicle incident.,2018/06/05 08:46:00 PM,2018/06/05 09:53:00 PM,NW,-114.0743654,51.05723091,1,2018060520462651.0572309089937-114.074365371566,POINT (-114.0743654 51.05723091),POINT (284560.15014230117 5660686.69826073)
 16 Avenue b/w Deerfoot Trail and 6 Street NE ,"Ongoing incident, the road has reopened WB. WB right lanes remain blocked",2023/07/27 03:21:55 PM,2023/07/27 08:07:52 PM,NE,-114.04589866820866,51.06708029178764,1,2023-07-27T15:21:5551.06708029178764-114.04589866820866,POINT (-114.04589866820866 51.06708029178764),POINT (286599.9147674842 5661698.744621273)
Glenmore Trail at 85 Street SW,Traffic incident.,2021/05/14 02:46:00 AM,,,-114.214351,51.02078437,1,2021-05-14T02:46:5051.02078436540039-114.21435103520173,POINT (-114.214351 51.02078437),POINT (274575.671311358 5657054.056786454)
 Southbound Deerfoot Ramp to Memorial Drive ,Traffic incident.  Ramp onto EB Memorial Dr is closed,2023/12/01 12:01:36 PM,2023/12/01 03:54:24 PM,NE,-114.01836175302324,51.048117857459474,1,2023-12-01T12:01:3651.048117857459474-114.01836175302323,POINT (-114.01836175302323 51.048117857459474),POINT (288442.3575926959 5659511.162986559)
Sunridge Way and 36 Street NE,Multi-vehicle incident.,2017/09/13 09:21:00 PM,2017/09/13 09:22:00 PM,NE,-113.9819828,51.06841758,1,2017-09-13T20:21:0351.0684175806684-113.981982776142,POINT (-113.9819828 51.06841758),POINT (291083.1194258527 5661664.043746505)
 Peigan Trail between 25 Street and 36 Street SE ,The train arms are stuck down,2022/07/11 06:18:43 AM,2022/07/11 07:18:03 AM,NW,-113.98591870704738,51.015305582502286,1,2022-07-11T06:18:4351.015305582502286-113.98591870704738,POINT (-113.98591870704738 51.015305582502286),POINT (290567.9255775446 5655770.602107021)
34 Avenue at 52 Street SE,Single vehicle incident.,2017/05/07 05:15:00 PM,2017/05/07 05:16:00 PM,SE,-113.9583768,51.02336878,1,2017-05-07T16:15:1051.0233687777821-113.958376827298,POINT (-113.9583768 51.02336878),POINT (292535.365322724 5656589.0646512965)
16 Avenue and Deerfoot Trail NE,Two vehicle incident. Blocking the NB right lane,2022/04/13 01:07:00 PM,2022/04/13 01:09:00 PM,NE,-114.028176,51.06685388,1,2022-04-13T13:07:5251.06685388275538-114.0281760210407,POINT (-114.028176 51.06685388),POINT (287840.31127763505 5661622.338164944)
17 Avenue and 85 Street SW,Traffic incident.,2021/06/21 05:24:00 PM,,,-114.2113745,51.03801221,1,2021-06-21T17:24:1551.038012207950125-114.2113744707419,POINT (-114.2113745 51.03801221),POINT (274867.91391861375 5658960.132353809)
 Southbound Barlow Trail and Deerfoot Trail SE ,Traffic incident. Blocking the shoulder on the merge ramp,2023/03/16 11:24:51 PM,2023/03/17 12:35:33 AM,SE,-113.98220586422704,50.94642147764388,1,2023-03-16T23:24:5150.94642147764388-113.98220586422705,POINT (-113.98220586422705 50.94642147764388),POINT (290518.33255982667 5648102.051367155)
Crowchild Trail at 40 Avenue NW,". Traffic signal lights are blank, crews have been dispatched.",2017/04/17 09:18:00 PM,2017/04/17 09:22:00 PM,NW,-114.1357134,51.08824039,1,2017-04-17T20:18:3251.0882403911368-114.135713383478,POINT (-114.1357134 51.08824039),POINT (280408.92665375094 5664315.372557359)
 Northbound Stoney Trail NE after Country Hills Boulevard NE ,Traffic incident. Blocking the right lane,2024/02/24 01:30:03 PM,2024/02/24 02:30:25 PM,NE,-113.91388515743732,51.1700931137464,1,2024-02-24T13:30:0351.170093113746404-113.91388515743733,POINT (-113.91388515743733 51.170093113746404),POINT (296301.0507908825 5672776.801465905)
Macleod Trail at Stoney Trail SE,Traffic incident. Blocking the SB left lane and NB left shoulder,2022/01/21 02:20:00 AM,2022/01/21 03:24:00 AM,SE,-114.054366,50.89281358,1,2022-01-21T02:20:5350.892813580448276-114.05436599100119,POINT (-114.054366 50.89281358),POINT (285203.65126467904 5642349.977181807)
Westbound 16 Avenue approaching Deerfoot Trail NE,Multi-vehicle incident. All lanes have reopened,2021/09/23 05:48:00 PM,,,-114.0238056,51.06731486,1,2021-09-23T17:48:5151.067314857340264-114.0238055749627,POINT (-114.0238056 51.06731486),POINT (288148.5558001607 5661660.997788483)
16 Avenue and 46 Street NW,Two vehicle incident.,2017/08/26 10:01:00 PM,2017/08/26 10:02:00 PM,NW,-114.1627391,51.07147321,1,2017-08-26T21:01:4551.0714732143302-114.162739059958,POINT (-114.1627391 51.07147321),POINT (278436.6108472511 5662532.378567527)
Northbound Barlow Trail and 27 Avenue NE,Single vehicle incident. Blocking the left lanes,2020/11/29 02:27:00 PM,,,-114.0015312,51.07724234,1,2020-11-29T14:27:1651.07724233894042-114.00153123729503,POINT (-114.0015312 51.07724234),POINT (289753.8457562651 5662700.789435459)
Northbound Mcivor Boulevard at Copperpond Boulevard SE,Two vehicle incident.,2018/02/06 08:13:00 AM,2018/02/06 09:10:00 AM,SE,-113.9327854,50.92308961,1,2018-02-06T08:13:1150.9230896135956-113.932785431147,POINT (-113.9327854 50.92308961),POINT (293886.0094468131 5645368.935483339)
33 Street and 32 Avenue NW,Two vehicle incident.,2018/07/19 04:31:00 PM,2018/07/19 04:32:00 PM,NW,-114.1341685,51.08142368,1,2018071916311451.0814236845868-114.134168484533,POINT (-114.1341685 51.08142368),POINT (280484.80529873027 5663552.946689213)
Seton Boulevard at Seton Way SE,Multi-vehicle incident.,2017/05/15 03:47:00 PM,2017/05/15 03:51:00 PM,SE,-113.9574933,50.88250547,1,2017-05-15T14:47:3550.8825054696699-113.957493331541,POINT (-113.9574933 50.88250547),POINT (291968.9693227052 5640926.468849297)
 6 Avenue after Centre Street S ,Traffic incident. Blocking the WB right lanes,2023/02/01 11:32:33 PM,2023/02/01 11:34:03 PM,SW,-114.06103717969611,51.04743218940318,1,2023-02-01T23:32:3351.04743218940318-114.06103717969613,POINT (-114.06103717969613 51.04743218940318),POINT (285448.64928602835 5659558.435438491)
Eastbound 5 Avenue at 3 Street SE,Single vehicle incident. Blocking the left lane,2019/02/12 11:53:00 AM,2019/02/12 12:55:00 PM,SE,-114.0554446,51.04820018,1,2019021211535951.0482001823423-114.055444610341,POINT (-114.0554446 51.04820018),POINT (285844.10539819876 5659627.530786065)
Country Hills Boulevard at Coventry Hills Boulevard NE,Multi-vehicle incident.,2017/05/01 01:47:00 PM,2017/05/01 01:49:00 PM,NE,-114.0528793,51.15429259,1,2017-05-01T12:47:1051.1542925937806-114.052879312838,POINT (-114.0528793 51.15429259),POINT (286513.42894135555 5671414.618947995)
90 Avenue at 24 Street SW,Traffic signals are flashing red. Crews have been dispatched.,2018/06/20 06:21:00 PM,2018/06/20 07:36:00 PM,SW,-114.1183814,50.97227029,1,2018062018210450.9722702921877-114.118381413701,POINT (-114.1183814 50.97227029),POINT (281076.3338269702 5651371.392987267)
 Southbound Deerfoot Trail and 16 Avenue NE ,Two vehicle incident. Blocking the left lane,2023/03/23 01:51:31 AM,2023/03/23 01:52:25 AM,NE,-114.02700136101032,51.06877606741956,1,2023-03-23T01:51:3151.068776067419556-114.02700136101032,POINT (-114.02700136101032 51.068776067419556),POINT (287931.38296862034 5661832.647267809)
 Westbound John Laurie Boulevard approaching Shaganappi Trail NW ,Traffic incident.,2023/09/10 11:25:34 PM,2023/09/10 11:26:53 PM,NW,-114.13022197259215,51.10494204842013,1,2023-09-10T23:25:3451.10494204842013-114.13022197259215,POINT (-114.13022197259215 51.10494204842013),POINT (280872.42420998303 5666155.731131523)
Southbound 36 Street and Sunridge Wy NE,Single vehicle incident.  blocking the right lane,2018/03/27 07:01:00 PM,2018/03/27 08:19:00 PM,NE,-113.9849337,51.06729869,1,2018-03-27T18:01:4651.0672986910231-113.98493374196,POINT (-113.9849337 51.06729869),POINT (290871.3738647238 5661548.033128371)
Taradale Drive and Taralake Wy NE,Traffic incident.,2021/07/09 04:39:00 PM,,,-113.9271248,51.11893522,1,2021-07-09T16:39:5051.118935216904184-113.92712479239515,POINT (-113.9271248 51.11893522),POINT (295149.21935500944 5667126.062913215)
Southbound 52 Street and 26 Avenue NE,Two vehicle incident. Blocking the left lane,2018/02/12 04:51:00 PM,2018/02/12 04:53:00 PM,NE,-113.9585037,51.07631642,1,2018-02-12T16:51:5651.0763164190347-113.958503725915,POINT (-113.9585037 51.07631642),POINT (292763.0563733812 5662475.807568729)
20 Avenue and 4 Street SW,Single vehicle incident.,2017/10/13 08:02:00 PM,2017/10/13 08:05:00 PM,SW,-114.0715096,51.03514869,1,2017-10-13T19:02:3851.0351486945236-114.071509566634,POINT (-114.0715096 51.03514869),POINT (284657.7939240895 5658223.43625587)
10 Avenue and 4 Street SW,Two vehicle incident.,2018/02/18 09:25:00 PM,2018/02/18 09:26:00 PM,SW,-114.071512,51.04355743,1,2018-02-18T21:25:4151.0435574288027-114.071511958878,POINT (-114.071512 51.04355743),POINT (284696.6301456579 5659158.252486892)
 Temple Drive East of 52 Street NE ,Traffic incident.,2023/12/22 11:29:09 PM,2023/12/22 11:33:05 PM,NE,-113.95678280087722,51.091398039247096,1,2023-12-22T23:29:0951.091398039247096-113.95678280087722,POINT (-113.95678280087722 51.091398039247096),POINT (292950.96253022866 5664147.650341828)
 Scenic Acres Li and Stoney Trail NW ,Traffic incident.,2023/06/02 11:02:13 AM,2023/06/02 11:32:43 AM,NW,-114.2330013327596,51.11853774425847,1,2023-06-02T11:02:1351.11853774425847-114.23300133275959,POINT (-114.23300133275959 51.11853774425847),POINT (273745.515981877 5667978.35138166)
 Westbound Trans Canada Hi and Bowfort Road NW ,Traffic incident.,2022/10/20 05:28:11 PM,2022/10/20 06:00:49 PM,NW,-114.20979236683672,51.08366108476182,1,2022-10-20T17:28:1151.08366108476182-114.20979236683672,POINT (-114.20979236683672 51.08366108476182),POINT (275200.16343568783 5664030.005126405)
 Southbound Deerfoot Trail approaching Memorial Drive NE ,Multi-vehicle incident.  Blocking the left lane,2022/09/11 01:56:45 PM,2022/09/11 02:18:15 PM,NE,-114.024356759806,51.0597574591246,1,2022-09-11T13:56:4551.0597574591246-114.02435675980601,POINT (-114.02435675980601 51.0597574591246),POINT (288075.4199549416 5660822.409251666)
 Westbound Stoney Trail approaching Shaganappi Trail NW ,Multi-vehicle incident.  Blocking the right lane,2023/01/03 04:32:45 PM,2023/01/03 05:13:24 PM,NW,-114.1250725567455,51.15373804103925,1,2023-01-03T16:32:4551.15373804103925-114.1250725567455,POINT (-114.1250725567455 51.15373804103925),POINT (281463.4176502122 5671565.111661898)
Eastbound Country Hills Boulevard and Metis Trail NE,Traffic incident. Blocking the right lanes,2021/02/27 06:44:00 PM,,,-113.9708494,51.15394583,1,2021-02-27T18:44:0051.15394582535672-113.97084942064187,POINT (-113.9708494 51.15394583),POINT (292247.0769858017 5671141.044884343)
Corner Meadows Gate and Country Hills Boulevard NE,Traffic incident.,2021/02/17 01:22:00 PM,,,-113.9337531,51.15393079,1,2021-02-17T13:22:4851.15393078880686-113.93375310751539,POINT (-113.9337531 51.15393079),POINT (294840.68636605295 5671035.192759751)
Southbound Macleod Trail and 94 Avenue SE,Two vehicle incident. Blocking the middle lane,2021/10/03 10:20:00 PM,,,-114.0717071,50.96863232,1,2021-10-03T22:20:4450.96863231785932-114.07170708290658,POINT (-114.0717071 50.96863232),POINT (284335.55485826486 5650829.347513924)
Westbound Beddington Trail approaching Stoney Trail NW,Two vehicle incident. Blocking the right kane.,2020/07/22 03:42:00 PM,,,-114.1124153,51.15590065,1,2020-07-22T15:42:4451.1559006544503-114.11241528857333,POINT (-114.1124153 51.15590065),POINT (282358.53661811585 5671767.979874588)
36 Street and 19 Avenue SE,Two vehicle incident.,2018/12/04 08:05:00 AM,2018/12/04 08:13:00 AM,SE,-113.9816109,51.03625176,1,2018120408054551.0362517602729-113.981610856426,POINT (-113.9816109 51.03625176),POINT (290964.3124162353 5658087.009303622)
Crowchild Trail and 33 Avenue SW,Two vehicle incident. Blocking the NB left lane,2022/04/16 06:59:00 PM,2022/04/16 08:12:00 PM,SW,-114.1177989,51.023503,1,2022-04-16T18:59:0751.02350299558923-114.11779885590751,POINT (-114.1177989 51.023503),POINT (281358.30913887976 5657065.180734328)
